Organism,Morphology,Gram Nature,Optimal Media,Optimal Media Composition (per 100ml),Differential Media,Differential Media Composition,Biochemical Test,Origin/Source,Optimal Growth Temperature (°C),Optimal Growth pH,Optimal Growth Aerobic Conditions
Borrelia burgdorferi,"Spiral, loosely coiled, 0.18 to 0.25 micrometers in diameter, 4 to 30 micrometers in length",Gram negative,Barbour-Stoenner-Kelly Medium,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Bovine serum albumin 0.3 g, Rabbit serum 5.0 ml, N-acetyl-glucosamine 0.2 g, Glucose 0.2 g, Sodium pyruvate 0.05 g, Sodium polyanethole sulfonate 0.025 g, Gelatin 0.1 g, Agar 1.5 g",Barbour-Stoenner-Kelly Medium,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Bovine serum albumin 0.3 g, Rabbit serum 5.0 ml, N-acetyl-glucosamine 0.2 g, Glucose 0.2 g, Sodium pyruvate 0.05 g, Sodium polyanethole sulfonate 0.025 g, Gelatin 0.1 g, Agar 1.5 g","Gram negative spirochete, Motile with flagella, Observed by dark field microscopy, Non-cultivable easily","Tick vector in nature, causative agent of Lyme disease","32,33,34","7,7.2,7.4",Microaerophile
Treponema pallidum,"Spiral, tightly coiled, 0.25 micrometers in diameter, 6 to 15 micrometers in length, motile",Gram negative,Requires mammalian cell culture,"Amino acids mixture 0.5 g, Inorganic salts 0.3 g, Vitamins mixture 0.05 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0-10.0 ml, Trace elements 0.02 g",Tissue culture with mammalian cells,"CMRL 1066 medium 9.0 ml, Fetal bovine serum 1 ml","Gram negative spirochete, Motile with flagella, Observed by dark field microscopy, Treponemal specific antibody positive","Requires direct transmission, causative agent of syphilis","34,35,36,37","7.2,7.4","Microaerophile, requires tissue culture"
Ehrlichia chaffeensis,"Coccoid to pleomorphic, 0.5 to 1.5 micrometers in diameter, obligate intracellular",Gram negative,Requires mammalian cell culture,"Amino acids mixture 0.4 g, Inorganic salts 0.3 g, Vitamins mixture 0.02 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0 ml, Trace elements 0.01 g, L-glutamine 0.05 g",Mammalian cell culture,"Amino acids mixture 0.4 g, Inorganic salts 0.3 g, Vitamins mixture 0.02 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0 ml, Trace elements 0.01 g, L-glutamine 0.05 g","Gram negative obligate intracellular, Detected by immunofluorescence, PCR positive","Tick vector, causative agent of human monocytic ehrlichiosis",37,"7.2,7.4",Requires mammalian cells
Rickettsia rickettsii,"Coccobacillary, 0.3 to 0.5 micrometers in diameter, obligate intracellular",Gram negative,Requires mammalian cell culture,"Amino acids mixture 0.4 g, Inorganic salts 0.3 g, Vitamins mixture 0.02 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0 ml, Trace elements 0.01 g, L-glutamine 0.05 g",Mammalian cell culture,"Amino acids mixture 0.4 g, Inorganic salts 0.3 g, Vitamins mixture 0.02 g, Glucose 0.5 g, Phenol red 0.005 g, Sodium bicarbonate 0.2 g, Fetal bovine serum 5.0 ml, Trace elements 0.01 g, L-glutamine 0.05 g","Gram negative obligate intracellular, Detected by immunofluorescence, PCR positive","Tick vector, causative agent of Rocky Mountain spotted fever",37,"7.2,7.4",Requires mammalian cells
Stenotrophomonas maltophilia,"Rod-shaped, small, 0.4 to 0.7 micrometers in diameter, motile",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fermenting","Environmental bacterium, water systems, causes opportunistic infections",37,"6.5,7,7.5",Aerobe
Burkholderia cepacia,"Rod-shaped, 0.5 to 0.7 micrometers in diameter, motile",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Glucose oxidation positive, Non-fermenting","Environmental bacterium, soil, water, causes opportunistic infections in cystic fibrosis patients",37,"6.5,7,7.5",Aerobe
Chromobacterium violaceum,"Rod-shaped, 0.5 to 0.8 micrometers in diameter, motile",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Produces characteristic violet pigment","Environmental bacterium, water systems, rare human pathogen",37,"6.5,7,7.5",Aerobe
Nocardia asteroides,"Rod-shaped to filamentous, branching, 0.5 to 1 micrometer in diameter, acid-fast weak positive",Gram positive but weakly acid-fast,Sabouraud Dextrose Agar,"Peptone 1.0 g, Dextrose 2.0 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive branching rod, Weakly acid-fast, Catalase positive, Non-motile, Oxidase negative","Environmental saprophyte, soil, causes pulmonary infections and abscess formation",37,"6.8,7,7.2",Aerobe
Capnocytophaga spp.,"Rod-shaped, fusiform, slender, 0.3 to 0.5 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Chocolate Agar,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g","Gram negative rod, Oxidase positive, Catalase variable, Motile with spreading colonies, Non-fermenting","Normal oral flora, causes periodontal disease and bacteremia","35,36,37","7,7.2,7.5",Microaerophile
Kingella kingae,"Rod-shaped, coccobacillary, 0.3 to 0.5 micrometers in diameter, motile",Gram negative,Blood Agar supplemented with 5 percent sheep blood,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Chocolate Agar,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g","Gram negative coccobacillus, Oxidase positive, Catalase negative, Motile, Produces alpha hemolysis on blood agar","Oral flora, causes arthritis, endocarditis, infections in children","35,36,37","7,7.2,7.5",Facultative anaerobe
Actinobacillus spp.,"Rod-shaped, coccobacillary, pleomorphic, 0.3 to 0.8 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Chocolate Agar,"Peptone 1.5 g, Sodium chloride 0.5 g, Cornstarch 0.1 g, Dipotassium phosphate 0.4 g, Monopotassium phosphate 0.1 g, Hemin solution 0.01 g, Nicotinamide adenine dinucleotide (NAD) 0.0005 g, Agar 1.0 g","Gram negative coccobacillus, Oxidase variable, Catalase positive, Non-motile, Ferments carbohydrates","Normal flora of animals, rare human pathogen",37,"7,7.2,7.5",Facultative anaerobe
Fusobacterium nucleatum,"Rod-shaped, pleomorphic, 0.5 to 1 micrometer in diameter, anaerobic",Gram negative,Brain Heart Infusion Agar supplemented with hemin and menadione,"Brain heart infusion 1.0 g, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative rod, Non-motile, Catalase negative, Non-sporing, Produces foul odor","Normal oral flora, causes periodontal disease, mixed infections",37,"7,7.2,7.5",Strict anaerobe
Veillonella parvula,"Cocci, spherical, 0.3 to 0.5 micrometers in diameter, anaerobic",Gram negative,Brain Heart Infusion Agar supplemented with hemin and menadione,"Brain heart infusion 1.0 g, Hemin 0.0005 g, Menadione 0.00005 g, Agar 1.5 g",Blood Agar Anaerobic,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram negative coccus, Non-motile, Catalase negative, Non-sporing, Ferments lactate","Normal oral flora, gastrointestinal tract, causes opportunistic infections",37,"7,7.2,7.5",Strict anaerobe
Mycoplasma hominis,"Pleomorphic, coccoid to filamentous, no cell wall, 0.1 to 0.3 micrometers in diameter",Gram negative staining not reliable,PPLO Broth supplemented with horse serum,"Peptone 0.5 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Beef heart infusion 0.2 g, Horse serum 10.0 ml, Glucose 0.1 g, Phenol red 0.002 g",PPLO Agar with Methylene Blue,"Peptone 0.5 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Beef heart infusion 0.2 g, Horse serum 10.0 ml, Glucose 0.1 g, Phenol red 0.002 g, Methylene blue 0.0001 g, Agar 1.5 g","No cell wall so gram staining not reliable, Forms fried egg colonies, Non-motile, Reduces methylene blue","Urogenital flora, causes urogenital infections",37,"7,7.2,7.5",Facultative anaerobe
Ureaplasma urealyticum,"Pleomorphic, coccoid, no cell wall, 0.1 to 0.3 micrometers in diameter",Gram negative staining not reliable,Ureaplasma Broth supplemented with horse serum and urea,"Peptone 0.5 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Beef heart infusion 0.2 g, Horse serum 10.0 ml, Glucose 0.1 g, Phenol red 0.002 g, Urea 0.04 g",Ureaplasma Agar,"Peptone 0.5 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Beef heart infusion 0.2 g, Horse serum 10.0 ml, Glucose 0.1 g, Phenol red 0.002 g, Urea 0.04 g, Agar 1.5 g","No cell wall so gram staining not reliable, Forms tiny fried egg colonies, Non-motile, Urease positive","Urogenital flora, causes urogenital infections",37,"6.8,7,7.2",Facultative anaerobe
Legionella longbeachae,"Rod-shaped, slender, pleomorphic, 0.3 to 0.9 micrometers in diameter",Gram negative but stains poorly,Buffered Charcoal Yeast Extract Agar,"Yeast extract 1.0 g, L-cysteine hydrochloride 0.04 g, Iron pyrophosphate 0.025 g, Alpha-ketoglutarate 0.1 g, ACES buffer 1.0 g, Charcoal 0.2 g, Agar 1.5 g",Legionella BMPA Agar,"Yeast extract 1.0 g, L-cysteine hydrochloride 0.04 g, Iron pyrophosphate 0.025 g, Alpha-ketoglutarate 0.1 g, Charcoal 0.2 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative rod, Non-motile, Oxidative metabolism of amino acids","Water systems, environmental organism, causes Legionnaires disease","35,36,37","6.9,7",Aerobe
Acidovorax spp.,"Rod-shaped, straight, 0.5 to 0.8 micrometers in diameter, motile",Gram negative,Minimal Salts Medium with glucose,"Potassium phosphate 0.5 g, Ammonium sulfate 0.2 g, Sodium chloride 0.1 g, Glucose 0.2 g, Agar 1.5 g",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fermenting","Environmental bacterium, water systems","30,32,37","6.5,7,7.5",Aerobe
Elizabethkingia meningoseptica,"Rod-shaped, slender, gram negative, 0.4 to 0.7 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Yellow-pigmented colonies","Environmental organism, water systems, causes meningitis and sepsis",37,"7,7.2,7.5",Aerobe
Trueperella pyogenes,"Rod-shaped, coccobacillary, gram positive, 0.5 to 1 micrometer in diameter",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Blood Agar with hemolysis,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml","Gram positive coccobacillus, Catalase positive, Non-motile, Beta hemolysis on blood agar, Produces characteristic alpha toxin","Animal pathogen, rare human infection",37,"7,7.2,7.5",Facultative anaerobe
Pasteurella multocida,"Rod-shaped, coccobacillary, pleomorphic, 0.3 to 0.5 micrometers in diameter, gram negative",Gram negative,Blood Agar supplemented with 5 percent sheep blood,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative coccobacillus, Oxidase positive, Catalase positive, Non-motile, Fermentative, Urease positive","Animal pathogen, zoonotic, causes wound infections from bites",37,"7,7.2,7.5",Facultative anaerobe
Mycobacterium tuberculosis (MDR/XDR),"Rod-shaped, slender, 0.2 to 0.5 micrometers in diameter, 1 to 10 micrometers in length, acid-fast positive",Gram positive but acid-fast positive,Lowenstein Jensen Medium,"Mineral salts 1.0 g, Glycerol 0.5 g, Egg albumin 5 ml, Asparagine 0.04 g, Agar 1.5 g",Middlebrook 7H10 Agar with drug panels,"Base salts 0.6 g, L-asparagine 0.4 g, Ferric ammonium citrate 0.04 g, Zinc sulfate 0.001 g, Copper sulfate 0.001 g, Malachite green 0.0002 g, Agar 1.5 g","Acid-fast positive on Ziehl-Neelsen stain, Niacin positive, Nitrate reduction positive, Drug resistance determined by phenotypic testing","Respiratory tract, multi-drug resistant or extensively drug resistant strains",37,"6.8,7","Aerobe, requires 5 to 10 percent carbon dioxide"
Klebsiella pneumoniae (Carbapenem-resistant),"Rod-shaped, plump, 0.3 to 0.5 micrometers in diameter, 0.6 to 6 micrometers in length",Gram negative,MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g",Klebsiella Selective Agar,"Peptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Bile salts 0.15 g, Agar 1.5 g","Oxidase negative, Methyl red negative, Voges Proskauer positive, Indole negative, Citrate positive, Urease positive, Carbapenem resistance detected","Healthcare setting, nosocomial pathogen, carbapenem-resistant strains",37,"6,6.5,7,7.5,8","Facultative anaerobe, aerobic preferred"
Acinetobacter baumannii (Carbapenem-resistant),"Rod-shaped, coccobacillary, short, 0.5 to 0.8 micrometers in diameter",Gram negative,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",MacConkey Agar,"Peptone 1.7 g, Lactose 1.0 g, Sodium chloride 0.5 g, Phenol red 0.03 g, Bile salts 0.15 g, Agar 1.5 g","Gram negative coccobacillus, Oxidase negative, Catalase positive, Non-motile, Non-fermenting, Glucose oxidation positive, Carbapenem resistance detected","Healthcare setting, nosocomial pathogen, carbapenem-resistant strains",37,"6.5,7,7.5,8",Aerobe
Pseudomonas aeruginosa (MDR),"Rod-shaped, straight, 0.5 to 0.8 micrometers in diameter, 1.5 to 3 micrometers in length",Gram negative,Luria Bertani Agar,"Tryptone 1.0 g, Yeast extract 0.5 g, Sodium chloride 0.5 g, Agar 1.5 g",Pseudomonas Isolation Agar,"Protein hydrolysate 2.0 g, Magnesium chloride 0.14 g, Potassium sulfate 0.1 g, Irgasan 0.004 g, Agar 1.5 g","Oxidase positive, Catalase positive, Non-fermenting gram negative rod, Arginine dihydrolase positive, Produces pyocyanin pigment, Multi-drug resistant phenotype","Environmental bacterium, multi-drug resistant strains common in healthcare settings","37,39,40,42","7,7.2,7.5",Strict aerobe
Clostridioides difficile (Hypervirulent Strains),"Rod-shaped, straight, 0.5 to 1.6 micrometers in diameter, terminal spores",Gram positive,Brain Heart Infusion supplemented with Sodium Taurocholate,"Brain heart infusion powder 1.8 g, Peptone 0.5 g, Sodium chloride 0.5 g, Sodium taurocholate 0.1 g, Agar 1.5 g",Cycloserine-Cefoxitin Fructose Agar,"Peptone 2.0 g, Fructose 1.0 g, Sodium chloride 0.5 g, Agar 1.5 g, Cycloserine 0.005 g, Cefoxitin 0.0008 g, Neutral red indicator","Gram positive rod with terminal spores, Catalase negative, Motility negative, Produces toxins B and A plus binary toxin, Ground-glass morphology on CCFA","Healthcare setting, hypervirulent strains cause severe pseudomembranous colitis","35,36,37,38,40","6.8,7,7.2",Strict anaerobe
Enterococcus faecium (Vancomycin-resistant),"Cocci, spherical or ovoid, 0.6 to 1 micrometer in diameter, in pairs or short chains",Gram positive,Blood Agar,"Peptone 10 g, Meat Extract 3 g, Agar 15 g, Sodium Chloride 5 g, Distilled Water 100 ml, 5% Sheep Blood 10 ml",Bile Esculin Agar,"Beef extract 0.5 g, Peptone 0.5 g, Sodium chloride 0.5 g, Esculin 0.1 g, Ferric citrate 0.05 g, Agar 1.5 g","Catalase negative, Bile esculin positive, Non-hemolytic or alpha-hemolytic, Growth in 6.5 percent sodium chloride, Vancomycin resistance detected","Healthcare setting, vancomycin-resistant strains common in nosocomial infections",37,"6.5,7,7.5,8",Facultative anaerobe
Neisseria gonorrhoeae (XDR strains),"Cocci, kidney-shaped or reniform, 0.6 to 1 micrometer in diameter, arranged in pairs",Gram negative,Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Amphotericin B 0.0001 g, Agar 1.5 g",Modified Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative diplococcus, Glucose fermentation positive, Extensively drug resistant phenotype detected","Urogenital tract, extensively drug resistant strains increasingly reported","35,36,37","7,7.2,7.5","Microaerophile, 5 to 10 percent carbon dioxide required"
Neisseria meningitidis (Drug-resistant),"Cocci, kidney-shaped or reniform, 0.6 to 1 micrometer in diameter, arranged in pairs",Gram negative,Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Amphotericin B 0.0001 g, Agar 1.5 g",Modified Thayer-Martin Agar,"GC base 3.6 g, Hemoglobin 1.0 g, Supplement 1.0 ml, Vancomycin 0.001 g, Colistin 0.00008 g, Nystatin 0.0001 g, Agar 1.5 g","Oxidase positive, Catalase positive, Gram negative diplococcus, Glucose and maltose fermentation positive, Penicillin or fluoroquinolone resistance detected","Nasopharyngeal flora, drug-resistant strains cause meningitis and invasive disease","35,36,37","7,7.2,7.5","Microaerophile, 5 to 10 percent carbon dioxide required"
Burkholderia pseudomallei (Melioidosis),"Rod-shaped, irregular, 0.5 to 1 micrometer in diameter, motile with polar flagella",Gram negative,Ashdown Medium,"Nutrient agar 1.5 g, Glycerol 2.0 ml, Methylene blue 0.0002 g, Agar 1.5 g",Ashdown Medium,"Nutrient agar 1.5 g, Glycerol 2.0 ml, Methylene blue 0.0002 g, Agar 1.5 g","Gram negative rod, Oxidase positive, Catalase positive, Motile, Non-fermentative, Produces characteristic purple or blue colonies","Water and soil in tropical regions, causative agent of melioidosis or Whitmore disease",37,"7,7.2,7.5",Aerobe
